Source,Target,Weight,Type
MI , M2R           ,2,chemical
MI , M3L           ,2,chemical
MI , MCL           ,3,chemical
MI , NSML          ,1,chemical
MI , NSMR          ,2,chemical
MI , pm4d          ,2,chemical
MI , pm4vl         ,1,chemical
MI , pm4vr         ,7,chemical
MI , pm5d          ,5,chemical
NSML , I4            ,1,chemical
NSML , M3L           ,21,chemical
NSML , M3R           ,1,chemical
NSML , M4            ,13,chemical
NSML , NSMR          ,7,chemical
NSML , pm4vl         ,2,chemical
NSML , pm5d          ,38,chemical
NSML , pm5vl         ,63,chemical
NSML , pm5vr         ,8,chemical
NSMR , I2L           ,1,chemical
NSMR , I2R           ,1,chemical
NSMR , I4            ,3,chemical
NSMR , I6            ,4,chemical
NSMR , M3R           ,24,chemical
NSMR , pm4d          ,3,chemical
NSMR , pm5d          ,9,chemical
NSMR , pm5vl         ,1,chemical
NSMR , pm5vr         ,53,chemical
ADFL , ADLL          ,1,chemical
ADFL , AWBL          ,2,chemical
ADFL , AWCR          ,2,chemical
ADFL , AFDL          ,1,chemical
ADFL , URXL          ,1,chemical
ADFL , AUAL          ,12,chemical
ADFL , AIAL          ,2,chemical
ADFL , AIBL          ,2,chemical
ADFL , AIBR          ,1,chemical
ADFL , AIZL          ,39,chemical
ADFL , ADAL          ,2,chemical
ADFL , RIAL          ,46,chemical
ADFL , RIBL          ,4,chemical
ADFL , RIGL          ,4,chemical
ADFL , RIGR          ,1,chemical
ADFL , RIR           ,4,chemical
ADFL , RIVL          ,1,chemical
ADFL , SMBDL         ,1,chemical
ADFL , SMBVL         ,9,chemical
ADFL , SMDVL         ,1,chemical
ADFR , ADFR          ,1,chemical
ADFR , ASHR          ,6,chemical
ADFR , AWAR          ,1,chemical
ADFR , AWBR          ,4,chemical
ADFR , AWCR          ,1,chemical
ADFR , AFDR          ,1,chemical
ADFR , OLQVR         ,1,chemical
ADFR , BAGL          ,6,chemical
ADFR , URXR          ,10,chemical
ADFR , URYVR         ,2,chemical
ADFR , AUAR          ,9,chemical
ADFR , AIYR          ,2,chemical
ADFR , AIZR          ,37,chemical
ADFR , ADAR          ,4,chemical
ADFR , RIAR          ,61,chemical
ADFR , RIGR          ,24,chemical
ADFR , RIH           ,2,chemical
ADFR , RIR           ,7,chemical
ADFR , AVHL          ,1,chemical
ADFR , PVPR          ,1,chemical
ADFR , SMBDR         ,2,chemical
ADFR , SMBVR         ,19,chemical
ADLL , ASEL          ,1,chemical
ADLL , ASER          ,12,chemical
ADLL , ASGL          ,2,chemical
ADLL , ASHL          ,6,chemical
ADLL , AWAL          ,1,chemical
ADLL , AWBL          ,3,chemical
ADLL , AWCL          ,2,chemical
ADLL , OLQVL         ,2,chemical
ADLL , AIAL          ,19,chemical
ADLL , AIBL          ,26,chemical
ADLL , ADAL          ,1,chemical
ADLL , ALA           ,5,chemical
ADLL , RIAL          ,1,chemical
ADLL , RIGL          ,1,chemical
ADLL , RIR           ,1,chemical
ADLL , RIPL          ,3,chemical
ADLL , AVJL          ,3,chemical
ADLL , AVJR          ,9,chemical
ADLL , AVAL          ,9,chemical
ADLL , AVAR          ,5,chemical
ADLL , AVBL          ,12,chemical
ADLL , AVDL          ,4,chemical
ADLL , AVDR          ,15,chemical
ADLL , SMBVL         ,5,chemical
ADLR , ADLR          ,3,chemical
ADLR , ASER          ,2,chemical
ADLR , ASHR          ,4,chemical
ADLR , AWCR          ,7,chemical
ADLR , OLQVR         ,1,chemical
ADLR , OLLR          ,1,chemical
ADLR , CEPVR         ,1,chemical
ADLR , URXR          ,8,chemical
ADLR , AIAR          ,22,chemical
ADLR , AIBR          ,27,chemical
ADLR , ADAR          ,1,chemical
ADLR , RICL          ,1,chemical
ADLR , RICR          ,5,chemical
ADLR , RIFR          ,2,chemical
ADLR , URBR          ,6,chemical
ADLR , RIPR          ,2,chemical
ADLR , AVJL          ,2,chemical
ADLR , AVJR          ,3,chemical
ADLR , PVCL          ,3,chemical
ADLR , AVAR          ,8,chemical
ADLR , AVBL          ,3,chemical
ADLR , AVBR          ,7,chemical
ADLR , AVDL          ,26,chemical
ADLR , AVDR          ,3,chemical
ADLR , SIBVL         ,2,chemical
ADLR , SMBVR         ,5,chemical
ASEL , ADFR          ,1,chemical
ASEL , ASER          ,2,chemical
ASEL , ASJL          ,1,chemical
ASEL , AWBL          ,1,chemical
ASEL , AWCL          ,16,chemical
ASEL , AWCR          ,11,chemical
ASEL , AFDR          ,3,chemical
ASEL , IL2R          ,1,chemical
ASEL , OLLR          ,1,chemical
ASEL , AIAL          ,6,chemical
ASEL , AIBL          ,16,chemical
ASEL , AIBR          ,13,chemical
ASEL , AIYL          ,32,chemical
ASEL , AIYR          ,21,chemical
ASEL , AIZL          ,1,chemical
ASEL , RIAR          ,2,chemical
ASEL , RIR           ,1,chemical
ASER , ADLL          ,4,chemical
ASER , ADLR          ,1,chemical
ASER , ASEL          ,3,chemical
ASER , ASHR          ,2,chemical
ASER , ASKL          ,1,chemical
ASER , AWAR          ,1,chemical
ASER , AWCL          ,1,chemical
ASER , AWCR          ,1,chemical
ASER , AFDL          ,2,chemical
ASER , AFDR          ,3,chemical
ASER , AIAL          ,8,chemical
ASER , AIAR          ,4,chemical
ASER , AIBL          ,4,chemical
ASER , AIBR          ,32,chemical
ASER , AIYL          ,9,chemical
ASER , AIYR          ,38,chemical
ASER , AIZL          ,1,chemical
ASGL , ASKL          ,2,chemical
ASGL , AIAL          ,46,chemical
ASGL , AIBL          ,17,chemical
ASGL , AINR          ,2,chemical
ASGR , ASER          ,3,chemical
ASGR , AIAR          ,51,chemical
ASGR , AIBR          ,20,chemical
ASGR , AIYR          ,1,chemical
ASGR , RIFR          ,14,chemical
ASHL , ADFL          ,6,chemical
ASHL , ADLL          ,6,chemical
ASHL , ASKL          ,1,chemical
ASHL , URXL          ,2,chemical
ASHL , AIAL          ,24,chemical
ASHL , AIBL          ,13,chemical
ASHL , AIZL          ,3,chemical
ASHL , ADAL          ,2,chemical
ASHL , RIAL          ,9,chemical
ASHL , RIR           ,4,chemical
ASHL , RIPL          ,4,chemical
ASHL , AVFL          ,2,chemical
ASHL , AVHR          ,2,chemical
ASHL , AVAL          ,15,chemical
ASHL , AVAR          ,1,chemical
ASHL , AVBL          ,14,chemical
ASHL , AVDL          ,7,chemical
ASHL , AVDR          ,20,chemical
ASHL , RIML          ,4,chemical
ASHL , HSNL          ,2,chemical
ASHR , ADFR          ,3,chemical
ASHR , ADLR          ,13,chemical
ASHR , ASHR          ,2,chemical
ASHR , AWAR          ,1,chemical
ASHR , AWBL          ,1,chemical
ASHR , AIAR          ,28,chemical
ASHR , AIBR          ,7,chemical
ASHR , ADAR          ,5,chemical
ASHR , RIAR          ,3,chemical
ASHR , RMGR          ,6,chemical
ASHR , AVHL          ,1,chemical
ASHR , PVPR          ,1,chemical
ASHR , PVCL          ,3,chemical
ASHR , AVAR          ,10,chemical
ASHR , AVBR          ,6,chemical
ASHR , AVDL          ,27,chemical
ASHR , AVDR          ,2,chemical
ASHR , AVER          ,7,chemical
ASHR , SMBVR         ,7,chemical
ASHR , HSNL          ,4,chemical
ASHR , HSNR          ,5,chemical
ASIL , ADFL          ,1,chemical
ASIL , ASER          ,8,chemical
ASIL , ASGL          ,3,chemical
ASIL , ASKL          ,3,chemical
ASIL , AWAR          ,2,chemical
ASIL , AWCL          ,3,chemical
ASIL , AWCR          ,4,chemical
ASIL , CEPVR         ,1,chemical
ASIL , AIAL          ,2,chemical
ASIL , AIBL          ,3,chemical
ASIL , AIYL          ,3,chemical
ASIL , AIYR          ,2,chemical
ASIL , AIZL          ,1,chemical
ASIL , RIAL          ,3,chemical
ASIL , RIBL          ,1,chemical
ASIL , RMFL          ,1,chemical
ASIL , SAAVL         ,2,chemical
ASIR , ADLR          ,1,chemical
ASIR , ASEL          ,2,chemical
ASIR , ASER          ,2,chemical
ASIR , ASGR          ,3,chemical
ASIR , ASHR          ,2,chemical
ASIR , AWAR          ,1,chemical
ASIR , AWCL          ,2,chemical
ASIR , AWCR          ,5,chemical
ASIR , CEPVR         ,1,chemical
ASIR , AIAL          ,1,chemical
ASIR , AIAR          ,4,chemical
ASIR , AIBR          ,3,chemical
ASJL , ASJR          ,1,chemical
ASJL , ASKL          ,12,chemical
ASJL , ASKR          ,1,chemical
ASJL , CEPDL         ,1,chemical
ASJL , ALA           ,3,chemical
ASJL , PVQL          ,34,chemical
ASJL , HSNL          ,1,chemical
ASJL , HSNR          ,1,chemical
ASJR , ASKR          ,12,chemical
ASJR , PVQR          ,19,chemical
ASJR , HSNR          ,1,chemical
ASKL , ASER          ,4,chemical
ASKL , ASJL          ,1,chemical
ASKL , AIAL          ,29,chemical
ASKL , AIBL          ,9,chemical
ASKL , AIML          ,5,chemical
ASKR , ADLR          ,3,chemical
ASKR , ASER          ,1,chemical
ASKR , ASGR          ,1,chemical
ASKR , AWAR          ,2,chemical
ASKR , CEPVR         ,2,chemical
ASKR , AIAL          ,1,chemical
ASKR , AIAR          ,35,chemical
ASKR , AIBR          ,2,chemical
ASKR , AIMR          ,5,chemical
ASKR , ALA           ,1,chemical
ASKR , RIFR          ,1,chemical
ASKR , HSNL          ,1,chemical
AWAL , ASEL          ,7,chemical
AWAL , ASGL          ,1,chemical
AWAL , ASHL          ,2,chemical
AWAL , AWBL          ,9,chemical
AWAL , AFDL          ,7,chemical
AWAL , AIYL          ,3,chemical
AWAL , AIZL          ,23,chemical
AWAL , ADAL          ,2,chemical
AWAR , ADFR          ,9,chemical
AWAR , ASER          ,5,chemical
AWAR , ASGR          ,1,chemical
AWAR , ASIL          ,2,chemical
AWAR , AWBR          ,3,chemical
AWAR , AFDR          ,23,chemical
AWAR , AUAR          ,1,chemical
AWAR , AIAR          ,3,chemical
AWAR , AIYR          ,8,chemical
AWAR , AIZR          ,25,chemical
AWAR , RIFR          ,5,chemical
AWAR , RIGR          ,6,chemical
AWAR , RIR           ,2,chemical
AWBL , ADFL          ,25,chemical
AWBL , ASEL          ,1,chemical
AWBL , ASHL          ,2,chemical
AWBL , AWAL          ,2,chemical
AWBL , AWCL          ,1,chemical
AWBL , AIAL          ,4,chemical
AWBL , AIBR          ,1,chemical
AWBL , AIYL          ,1,chemical
AWBL , AIZL          ,15,chemical
AWBL , RIAL          ,10,chemical
AWBL , RIGL          ,2,chemical
AWBL , AVHR          ,2,chemical
AWBL , AVBL          ,2,chemical
AWBL , SMBDL         ,2,chemical
AWBL , SMBVL         ,3,chemical
AWBL , HSNL          ,1,chemical
AWBR , ADFR          ,7,chemical
AWBR , ASER          ,1,chemical
AWBR , ASGR          ,1,chemical
AWBR , ASHR          ,2,chemical
AWBR , OLQVR         ,1,chemical
AWBR , URYVR         ,1,chemical
AWBR , AIYR          ,1,chemical
AWBR , AIZR          ,8,chemical
AWBR , AIMR          ,1,chemical
AWBR , RIAR          ,3,chemical
AWBR , RIFR          ,1,chemical
AWBR , RIR           ,7,chemical
AWBR , AVBR          ,2,chemical
AWBR , HSNL          ,2,chemical
AWBR , HSNR          ,2,chemical
AWCL , ASER          ,1,chemical
AWCL , ASGR          ,1,chemical
AWCL , ASIL          ,1,chemical
AWCL , AWCR          ,11,chemical
AWCL , AFDL          ,2,chemical
AWCL , AIAL          ,2,chemical
AWCL , AIAR          ,4,chemical
AWCL , AIBL          ,12,chemical
AWCL , AIBR          ,2,chemical
AWCL , AIYL          ,22,chemical
AWCL , AIZL          ,1,chemical
AWCL , RIAL          ,6,chemical
AWCL , AVAL          ,1,chemical
AWCL , SMDVL         ,1,chemical
AWCR , ADFR          ,1,chemical
AWCR , ASEL          ,8,chemical
AWCR , ASER          ,5,chemical
AWCR , ASGR          ,3,chemical
AWCR , ASHR          ,1,chemical
AWCR , ASIL          ,2,chemical
AWCR , ASIR          ,2,chemical
AWCR , AWCL          ,17,chemical
AWCR , IL2L          ,2,chemical
AWCR , AIAL          ,1,chemical
AWCR , AIAR          ,8,chemical
AWCR , AIBL          ,3,chemical
AWCR , AIBR          ,18,chemical
AWCR , AIYL          ,12,chemical
AWCR , AIYR          ,22,chemical
AWCR , RIAL          ,3,chemical
AWCR , RIVL          ,3,chemical
AFDL , ASEL          ,1,chemical
AFDL , ASER          ,1,chemical
AFDL , AWBL          ,4,chemical
AFDL , AFDL          ,1,chemical
AFDL , AIBL          ,1,chemical
AFDL , AIYL          ,25,chemical
AFDL , AINR          ,3,chemical
AFDR , ASEL          ,1,chemical
AFDR , ASER          ,4,chemical
AFDR , AFDL          ,1,chemical
AFDR , AIYR          ,29,chemical
IL1DL , IL2DL         ,1,chemical
IL1DL , RIPL          ,11,chemical
IL1DL , RMDDR         ,3,chemical
IL1DL , RMDVL         ,3,chemical
IL1DL , RMEL          ,1,chemical
IL1DL , URADL         ,10,chemical
IL1DL , SIBDL         ,3,chemical
IL1DL , dBWML1        ,11,chemical
IL1DL , dBWML2        ,4,chemical
IL1DL , dBWML3        ,5,chemical
IL1DL , dBWML6        ,9,chemical
IL1DL , dBWMR7        ,2,chemical
IL1DR , IL1DR         ,1,chemical
IL1DR , IL1R          ,2,chemical
IL1DR , IL2DR         ,5,chemical
IL1DR , OLLR          ,1,chemical
IL1DR , URYDR         ,2,chemical
IL1DR , RIPR          ,28,chemical
IL1DR , PVR           ,5,chemical
IL1DR , RMDDL         ,11,chemical
IL1DR , RMDVR         ,32,chemical
IL1DR , URADR         ,8,chemical
IL1DR , dBWMR1        ,14,chemical
IL1DR , dBWMR2        ,6,chemical
IL1DR , dBWMR3        ,12,chemical
IL1L , IL2L          ,1,chemical
IL1L , OLLL          ,1,chemical
IL1L , RMGL          ,1,chemical
IL1L , URBL          ,1,chemical
IL1L , AVER          ,5,chemical
IL1L , RMDDL         ,20,chemical
IL1L , RMDL          ,3,chemical
IL1L , RMDR          ,9,chemical
IL1L , RMDVL         ,22,chemical
IL1L , RMDVR         ,5,chemical
IL1L , RMER          ,4,chemical
IL1L , URAVL         ,4,chemical
IL1L , dBWML3        ,16,chemical
IL1L , dBWML4        ,15,chemical
IL1L , dBWML5        ,7,chemical
IL1L , vBWML1        ,20,chemical
IL1L , vBWML2        ,6,chemical
IL1L , vBWML4        ,4,chemical
IL1R , OLLR          ,1,chemical
IL1R , URXR          ,1,chemical
IL1R , AVEL          ,2,chemical
IL1R , AVER          ,5,chemical
IL1R , RMDDL         ,8,chemical
IL1R , RMDDR         ,12,chemical
IL1R , RMDL          ,11,chemical
IL1R , RMDR          ,4,chemical
IL1R , RMDVL         ,8,chemical
IL1R , RMDVR         ,17,chemical
IL1R , RMEL          ,5,chemical
IL1R , RMHL          ,3,chemical
IL1R , dBWMR3        ,16,chemical
IL1R , dBWMR4        ,3,chemical
IL1R , dBWMR5        ,13,chemical
IL1R , vBWMR4        ,19,chemical
IL1VL , IL1L          ,3,chemical
IL1VL , IL1VL         ,5,chemical
IL1VL , OLQVL         ,2,chemical
IL1VL , URYVL         ,4,chemical
IL1VL , RIPL          ,13,chemical
IL1VL , AVL           ,1,chemical
IL1VL , RMDDL         ,30,chemical
IL1VL , RMDVR         ,3,chemical
IL1VL , RMHL          ,1,chemical
IL1VL , URAVL         ,4,chemical
IL1VL , vBWML1        ,15,chemical
IL1VL , vBWML2        ,18,chemical
IL1VR , IL1R          ,4,chemical
IL1VR , IL2VR         ,2,chemical
IL1VR , OLQVR         ,5,chemical
IL1VR , OLLR          ,1,chemical
IL1VR , RIPR          ,16,chemical
IL1VR , RMDDR         ,40,chemical
IL1VR , RMDVL         ,5,chemical
IL1VR , URAVR         ,4,chemical
IL1VR , vBWMR2        ,16,chemical
IL1VR , vBWMR4        ,24,chemical
IL2DL , IL1DL         ,17,chemical
IL2DL , IL2DL         ,2,chemical
IL2DL , OLQDL         ,2,chemical
IL2DL , AUAL          ,2,chemical
IL2DL , RIBL          ,1,chemical
IL2DL , RIH           ,2,chemical
IL2DL , RIPL          ,28,chemical
IL2DL , AVBR          ,2,chemical
IL2DL , RMED          ,2,chemical
IL2DL , RMEL          ,11,chemical
IL2DL , RMER          ,8,chemical
IL2DL , RMEV          ,1,chemical
IL2DL , RMHL          ,1,chemical
IL2DL , URADL         ,8,chemical
IL2DR , IL1DR         ,28,chemical
IL2DR , OLQDR         ,2,chemical
IL2DR , CEPDR         ,2,chemical
IL2DR , RICL          ,1,chemical
IL2DR , RICR          ,2,chemical
IL2DR , RIPL          ,1,chemical
IL2DR , RIPR          ,43,chemical
IL2DR , RMED          ,3,chemical
IL2DR , RMEL          ,12,chemical
IL2DR , RMER          ,11,chemical
IL2DR , RMEV          ,5,chemical
IL2DR , URADR         ,5,chemical
IL2L , IL1L          ,6,chemical
IL2L , OLQDL         ,20,chemical
IL2L , OLQVL         ,19,chemical
IL2L , URXL          ,3,chemical
IL2L , ADEL          ,6,chemical
IL2L , RICL          ,1,chemical
IL2L , RIH           ,25,chemical
IL2L , AVEL          ,2,chemical
IL2L , RMDL          ,5,chemical
IL2L , RMDR          ,3,chemical
IL2L , RMER          ,10,chemical
IL2L , RMEV          ,5,chemical
IL2L , URAVL         ,2,chemical
IL2R , IL1R          ,2,chemical
IL2R , OLQDR         ,10,chemical
IL2R , OLQVR         ,26,chemical
IL2R , OLLR          ,5,chemical
IL2R , URXR          ,1,chemical
IL2R , ADER          ,5,chemical
IL2R , RIH           ,19,chemical
IL2R , RMGR          ,1,chemical
IL2R , URBR          ,3,chemical
IL2R , AVER          ,2,chemical
IL2R , RMDL          ,3,chemical
IL2R , RMEL          ,5,chemical
IL2R , RMEV          ,2,chemical
IL2R , URADR         ,2,chemical
IL2R , URAVR         ,1,chemical
IL2VL , IL1VL         ,27,chemical
IL2VL , IL2L          ,1,chemical
IL2VL , OLQVL         ,6,chemical
IL2VL , BAGR          ,1,chemical
IL2VL , RIAL          ,4,chemical
IL2VL , RIH           ,5,chemical
IL2VL , RIPL          ,36,chemical
IL2VL , DVC           ,1,chemical
IL2VL , RMEL          ,7,chemical
IL2VL , RMER          ,6,chemical
IL2VL , RMEV          ,2,chemical
IL2VL , URAVL         ,7,chemical
IL2VR , ADLR          ,1,chemical
IL2VR , IL1VR         ,29,chemical
IL2VR , OLQVR         ,9,chemical
IL2VR , URXR          ,1,chemical
IL2VR , RIAR          ,2,chemical
IL2VR , RIH           ,5,chemical
IL2VR , RIPR          ,43,chemical
IL2VR , AVAL          ,1,chemical
IL2VR , RMED          ,2,chemical
IL2VR , RMEL          ,8,chemical
IL2VR , RMER          ,17,chemical
IL2VR , RMEV          ,15,chemical
IL2VR , URAVR         ,16,chemical
IL2VR , SIADR         ,1,chemical
OLQDL , CEPDL         ,3,chemical
OLQDL , URYDL         ,3,chemical
OLQDL , RICR          ,6,chemical
OLQDL , RIH           ,3,chemical
OLQDL , RMDDL         ,1,chemical
OLQDL , RMDDR         ,10,chemical
OLQDL , RMED          ,1,chemical
OLQDL , RMEL          ,2,chemical
OLQDL , RMHL          ,1,chemical
OLQDL , SIBDL         ,9,chemical
OLQDL , dBWML6        ,1,chemical
OLQDR , IL1DR         ,1,chemical
OLQDR , RICL          ,2,chemical
OLQDR , RICR          ,2,chemical
OLQDR , RIH           ,2,chemical
OLQDR , RMDDL         ,11,chemical
OLQDR , RMER          ,1,chemical
OLQDR , RMHR          ,3,chemical
OLQDR , SIBDR         ,6,chemical
OLQVL , IL2L          ,1,chemical
OLQVL , RICL          ,4,chemical
OLQVL , AVAL          ,1,chemical
OLQVL , AVDR          ,1,chemical
OLQVL , RMDVR         ,14,chemical
OLQVL , RMHL          ,2,chemical
OLQVL , SIBVL         ,13,chemical
OLQVR , IL1VR         ,2,chemical
OLQVR , RIAR          ,10,chemical
OLQVR , RICR          ,3,chemical
OLQVR , RIH           ,18,chemical
OLQVR , RIPR          ,18,chemical
OLQVR , RMDVL         ,18,chemical
OLQVR , RMER          ,2,chemical
OLQVR , RMHR          ,1,chemical
OLQVR , SIBVR         ,18,chemical
OLLL , IL1VL         ,3,chemical
OLLL , OLLL          ,4,chemical
OLLL , CEPDL         ,5,chemical
OLLL , CEPVL         ,14,chemical
OLLL , URYDL         ,2,chemical
OLLL , URYVL         ,1,chemical
OLLL , RIBL          ,24,chemical
OLLL , AVER          ,53,chemical
OLLL , RMDDL         ,22,chemical
OLLL , RMDL          ,6,chemical
OLLL , RMDVL         ,3,chemical
OLLL , RMEL          ,5,chemical
OLLL , SMDDL         ,8,chemical
OLLL , SMDDR         ,9,chemical
OLLL , SMDVR         ,10,chemical
OLLR , IL1DR         ,1,chemical
OLLR , IL1VR         ,2,chemical
OLLR , IL2R          ,1,chemical
OLLR , OLQDR         ,1,chemical
OLLR , OLLR          ,4,chemical
OLLR , CEPDR         ,4,chemical
OLLR , CEPVR         ,16,chemical
OLLR , URYVL         ,3,chemical
OLLR , ADER          ,2,chemical
OLLR , RIBR          ,21,chemical
OLLR , RIS           ,2,chemical
OLLR , AVEL          ,39,chemical
OLLR , RMDDR         ,26,chemical
OLLR , RMDL          ,9,chemical
OLLR , RMDR          ,2,chemical
OLLR , RMDVR         ,6,chemical
OLLR , RMED          ,1,chemical
OLLR , RMER          ,3,chemical
OLLR , SMDDL         ,3,chemical
OLLR , SMDDR         ,1,chemical
OLLR , SMDVL         ,11,chemical
OLLR , SMDVR         ,4,chemical
CEPDL , AFDL          ,2,chemical
CEPDL , IL1DL         ,18,chemical
CEPDL , IL2DL         ,1,chemical
CEPDL , OLQDL         ,27,chemical
CEPDL , OLLL          ,8,chemical
CEPDL , CEPDR         ,1,chemical
CEPDL , ALML          ,2,chemical
CEPDL , URYDL         ,7,chemical
CEPDL , AINL          ,2,chemical
CEPDL , RIBL          ,3,chemical
CEPDL , RICL          ,11,chemical
CEPDL , RICR          ,8,chemical
CEPDL , RIH           ,1,chemical
CEPDL , RIS           ,3,chemical
CEPDL , RMGL          ,6,chemical
CEPDL , URBL          ,11,chemical
CEPDL , RIPL          ,8,chemical
CEPDL , AVER          ,13,chemical
CEPDL , RMDVL         ,13,chemical
CEPDL , RMHL          ,1,chemical
CEPDL , RMHR          ,8,chemical
CEPDL , URADL         ,8,chemical
CEPDL , SIADR         ,4,chemical
